Vatanda_lık ülkesine göre Türkiye'ye gelen ve Türkiye'den giden göç, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Immigrants and emigrants by country of citizenship, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[31 Aralık tarihi itibarıyla-As of 31 December];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yıl
Year";"Vatanda_lık ülkesi
Country of citizenship";"Türkiye'ye gelen göç
Immigrants";;;;"Türkiye'den giden göç
Emigrants";;;"Net göç
Net migration";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Toplam-Total; 739 364; 383 984; 355 380;; 287 651; 160 216; 127 435; 451 713;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
Turkish citizens"; 124 269; 70 286; 53 983;; 103 613; 61 585; 42 028; 20 656;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yabancı uyruklular-Foreign nationals; 615 095; 313 698; 301 397;; 184 038; 98 631; 85 407; 431 057;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Irak-Iraq; 74 336; 39 557; 34 779;; 40 124; 22 283; 17 841; 34 212;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_ran-Iran; 66 984; 33 758; 33 226;; 10 267; 5 564; 4 703; 56 717;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Özbekistan-Uzbekistan; 39 999; 15 290; 24 709;; 7 705; 2 754; 4 951; 32 294;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suriye-Syria; 37 044; 18 964; 18 080;; 9 515; 5 418; 4 097; 27 529;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Afganistan-Afghanistan; 34 069; 21 001; 13 068;; 12 321; 7 699; 4 622; 21 748;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rusya Federasyonu-Russian Federation; 31 463; 13 348; 18 115;; 7 184; 2 959; 4 225; 24 279;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Azerbaycan-Azerbaijan; 27 066; 14 315; 12 751;; 7 380; 3 958; 3 422; 19 686;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkmenistan-Turkmenistan; 24 465; 13 635; 10 830;; 8 969; 5 140; 3 829; 15 496;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kazakistan-Kazakhstan; 20 151; 8 452; 11 699;; 3 132; 1 327; 1 805; 17 019;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Somali-Somalia; 15 433; 8 201; 7 232;; 4 837; 2 673; 2 164; 10 596;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mısır-Egypt; 13 407; 7 536; 5 871;; 5 219; 3 428; 1 791; 8 188;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Almanya-Germany; 13 184; 7 017; 6 167;; 3 939; 1 890; 2 049; 9 245;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filistin-Palestine; 13 076; 8 145; 4 931;; 3 274; 2 141; 1 133; 9 802;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Libya-Libya; 11 991; 6 823; 5 168;; 6 718; 4 179; 2 539; 5 273;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pakistan-Pakistan; 11 900; 8 074; 3 826;; 2 041; 1 439;  602; 9 859;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kırgızistan-Kyrgyzstan; 11 786; 3 650; 8 136;; 3 045;  865; 2 180; 8 741;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ürdün-Jordan; 11 734; 7 193; 4 541;; 3 156; 1 950; 1 206; 8 578;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fas-Morocco; 9 716; 3 101; 6 615;; 1 937;  656; 1 281; 7 779;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ukrayna-Ukraine; 8 545; 2 494; 6 051;; 2 533;  611; 1 922; 6 012;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lübnan-Lebanon; 8 517; 4 640; 3 877;; 1 357;  788;  569; 7 160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sudan-Sudan; 6 925; 3 806; 3 119;;  587;  348;  239; 6 338;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yemen-Yemen; 6 864; 4 254; 2 610;; 3 819; 2 514; 1 305; 3 045;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gürcistan-Georgia; 6 248; 1 897; 4 351;; 3 041;  596; 2 445; 3 207;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nijerya-Nigeria; 5 973; 4 774; 1 199;; 1 179;  936;  243; 4 794;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Endonezya-Indonesia; 5 723; 1 795; 3 928;;  870;  326;  544; 4 853;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Amerika Birle_ik Devletleri-United States; 5 462; 2 935; 2 527;; 1 981; 1 024;  957; 3 481;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cezayir-Algeria; 5 438; 2 608; 2 830;; 1 131;  633;  498; 4 307;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çin-China; 5 239; 3 897; 1 342;; 1 813; 1 414;  399; 3 426;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tacikistan-Tajikistan; 4 746; 2 645; 2 101;;  722;  410;  312; 4 024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Birle_ik Krallık-United Kingdom; 4 740; 2 561; 2 179;; 2 377; 1 209; 1 168; 2 363;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Etiyopya-Ethiopia; 4 399; 2 302; 2 097;;  858;  534;  324; 3 541;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tunus-Tunisia; 3 412; 1 472; 1 940;;  496;  201;  295; 2 916;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Haiti-Haiti; 3 023; 2 151;  872;;  113;  78;  35; 2 910;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kuveyt-Kuwait; 3 008; 1 680; 1 328;; 1 091;  633;  458; 1 917;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avusturya-Austria; 2 130; 1 223;  907;;  444;  224;  220; 1 686;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Moldova-Moldova; 1 945;  480; 1 465;;  806;  172;  634; 1 139;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kanada-Canada; 1 932; 1 029;  903;;  508;  288;  220; 1 424;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sveç-Sweden; 1 917; 1 079;  838;;  564;  301;  263; 1 353;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belarus-Belarus; 1 820;  591; 1 229;;  342;  58;  284; 1 478;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hindistan-India; 1 716; 1 202;  514;;  624;  479;  145; 1 092;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uganda-Uganda; 1 640;  400; 1 240;;  184;  82;  102; 1 456;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fransa-France; 1 612;  846;  766;;  613;  329;  284;  999;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cibuti-Djibouti; 1 588;  783;  805;;  529;  277;  252; 1 059;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hollanda-Netherlands; 1 523;  875;  648;;  620;  342;  278;  903;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tayland-Thailand; 1 349;  240; 1 109;;  253;  64;  189; 1 096;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sierra Leone-Sierra Leone; 1 278;  861;  417;;  20;  14;  6; 1 258;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bulgaristan-Bulgaria; 1 257;  439;  818;;  496;  160;  336;  761;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kamerun-Cameroon; 1 207;  742;  465;;  226;  141;  85;  981;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filipinler-Philippines; 1 203;  138; 1 065;;  490;  54;  436;  713;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Senegal-Senegal; 1 200;  978;  222;;  159;  127;  32; 1 041;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Angola-Angola; 1 183;  722;  461;;  107;  71;  36; 1 076;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kenya-Kenya; 1 177;  582;  595;;  221;  115;  106;  956;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mo_olistan-Mongolia; 1 018;  421;  597;;  225;  111;  114;  793;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Arnavutluk-Albania;  914;  393;  521;;  378;  191;  187;  536;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_srail-Israel;  884;  502;  382;;  183;  118;  65;  701;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Güney Kore-South Korea;  858;  464;  394;;  659;  358;  301;  199;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çad-Chad;  819;  614;  205;;  150;  134;  16;  669;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kongo Demokratik Cumhuriyeti-Democratic Republic of the Congo;  812;  383;  429;;  101;  66;  35;  711;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Moritanya-Mauritania;  808;  569;  239;;  124;  87;  37;  684;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nepal-Nepal;  804;  377;  427;;  475;  233;  242;  329;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_talya-Italy;  767;  478;  289;;  368;  239;  129;  399;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norveç-Norway;  759;  427;  332;;  343;  167;  176;  416;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yunanistan-Greece;  748;  345;  403;;  261;  144;  117;  487;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kosova-Kosovo;  715;  305;  410;;  286;  155;  131;  429;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Romanya-Romania;  700;  228;  472;;  331;  126;  205;  369;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Danimarka-Denmark;  693;  400;  293;;  319;  171;  148;  374;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Eritre-Eritrea;  597;  320;  277;;  187;  107;  80;  410;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gine-Guinea;  597;  454;  143;;  85;  72;  13;  512;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Banglade_-Bangladesh;  591;  399;  192;;  215;  167;  48;  376;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ermenistan-Armenia;  544;  159;  385;;  206;  53;  153;  338;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kuzey Makedonya-North Macedonia;  542;  213;  329;;  246;  122;  124;  296;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suudi Arabistan-Saudi Arabia;  533;  316;  217;; 1 727; 1 058;  669;- 1 194;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gana-Ghana;  532;  336;  196;;  155;  121;  34;  377;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Brezilya-Brazil;  528;  224;  304;;  210;  100;  110;  318;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Polonya-Poland;  524;  184;  340;;  201;  66;  135;  323;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bosna Hersek-Bosnia and Herzegovina;  518;  205;  313;;  162;  71;  91;  356;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gambiya-Gambia;  515;  384;  131;;  101;  80;  21;  414;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kotdivuar-Côte d'Ivoire;  513;  328;  185;;  84;  58;  26;  429;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_spanya-Spain;  504;  263;  241;;  222;  121;  101;  282;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Katar-Qatar;  502;  327;  175;;  285;  205;  80;  217;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avustralya-Australia;  496;  265;  231;;  197;  102;  95;  299;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tanzanya-Tanzania;  490;  145;  345;;  68;  45;  23;  422;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mali-Mali;  460;  335;  125;;  73;  61;  12;  387;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gabon-Gabon;  437;  228;  209;;  20;  16;  4;  417;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kolombiya-Colombia;  436;  183;  253;;  100;  49;  51;  336;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belçika-Belgium;  407;  216;  191;;  238;  121;  117;  169;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Malezya-Malaysia;  406;  207;  199;;  201;  128;  73;  205;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zimbabve-Zimbabwe;  390;  223;  167;;  46;  19;  27;  344;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bahreyn-Bahrain;  371;  191;  180;;  72;  44;  28;  299;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Güney Afrika Cumhuriyeti-Republic of South Africa;  359;  191;  168;;  243;  153;  90;  116;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Komorlar-The Comoros;  348;  218;  130;;  30;  23;  7;  318;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sırbistan-Serbia;  345;  136;  209;;  143;  66;  77;  202;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Japonya-Japan;  334;  170;  164;;  207;  93;  114;  127;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sviçre-Switzerland;  310;  175;  135;;  127;  70;  57;  183;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kuzey Kıbrıs Türk Cumhuriyeti-Turkish Republic Of North Cyprus;  308;  155;  153;;  33;  18;  15;  275;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Togo-Togo;  292;  247;  45;;  35;  31;  4;  257;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Finlandiya-Finland;  286;  131;  155;;  163;  71;  92;  123;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_rlanda-Ireland;  268;  137;  131;;  136;  60;  76;  132;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nijer-Niger;  234;  163;  71;;  48;  30;  18;  186;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Meksika-Mexico;  229;  84;  145;;  70;  42;  28;  159;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Umman-Oman;  222;  130;  92;;  27;  18;  9;  195;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Birle_ik Arap Emirlikleri-United Arab Emirates;  211;  114;  97;;  66;  39;  27;  145;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kongo-Congo;  206;  137;  69;;  25;  11;  14;  181;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dominika-Dominica;  201;  130;  71;;  49;  33;  16;  152;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Macaristan-Hungary;  190;  69;  121;;  60;  22;  38;  130;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Litvanya-Lithuania;  188;  52;  136;;  85;  20;  65;  103;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çekya-Czechia;  167;  76;  91;;  61;  24;  37;  106;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Arjantin-Argentina;  160;  78;  82;;  30;  15;  15;  130;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gine-Bissau-Guinea-Bissau;  158;  106;  52;;  19;  13;  6;  139;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portekiz-Portugal;  158;  92;  66;;  52;  34;  18;  106;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Venezuela-Venezuela;  155;  70;  85;;  43;  23;  20;  112;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Burkina Faso-Burkina Faso;  154;  102;  52;;  32;  22;  10;  122;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Karada_-Montenegro;  148;  58;  90;;  51;  19;  32;  97;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Letonya-Latvia;  148;  45;  103;;  38;  14;  24;  110;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Küba-Cuba;  139;  56;  83;;  36;  15;  21;  103;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saint Kitts ve Nevis-Saint Kitts and Nevis;  134;  76;  58;;  27;  13;  14;  107;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hırvatistan-Croatia;  123;  75;  48;;  51;  32;  19;  72;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Benin-Benin;  122;  96;  26;;  30;  23;  7;  92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sri Lanka-Sri Lanka;  120;  80;  40;;  30;  16;  14;  90;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Myanmar-Myanmar;  116;  59;  57;;  23;  15;  8;  93;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Slovakya-Slovakia;  113;  34;  79;;  31;  13;  18;  82;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dominik Cumhuriyeti-Dominican Republic;  113;  33;  80;;  26;  10;  16;  87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tayvan-Taiwan;  101;  63;  38;;  36;  12;  24;  65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zambiya-Zambia;  101;  42;  59;;  40;  18;  22;  61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Di_er ülkeler-Other countries; 1 478;  739;  739;;  532;  303;  229;  946;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vatansız-Stateless;  109;  57;  52;;  59;  33;  26;  50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilinmeyen-Unknown;  72;  30;  42;;  3;  2;  1;  69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Toplam-Total; 340 845; 182 796; 158 049;; 420 463; 234 979; 185 484;- 79 618;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
Turkish citizens"; 98 349; 59 000; 39 349;; 77 810; 46 277; 31 533; 20 539;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yabancı uyruklular-Foreign nationals; 242 496; 123 796; 118 700;; 342 653; 188 702; 153 951;- 100 157;;;;;;;;;;;;;;;;;;;;;;;;;;;;
